subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,distance_to_avg
1,qpeinexact,21,62,"{'cp': 210, 'h': 40, 'measure': 20, 'swap': 10, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,746,"{'cx': 1141, 'rz': 923, 'sx': 323, 'x': 28, 'measure': 20, 'barrier': 1}",127,764,"{'cx': 1212, 'rz': 763, 'sx': 174, 'x': 28, 'measure': 20, 'barrier': 1}",1.1702853598014900
1,ae,12,66,"{'cp': 55, 'cx': 22, 'u': 12, 'measure': 12, 'u2': 11, 'u3': 11, 'h': 11, 'barrier': 1}",-1,-1,{},16,325,"{'cx': 270, 'rz': 269, 'sx': 100, 'measure': 12, 'x': 7, 'barrier': 1}",27,337,"{'rz': 287, 'cx': 254, 'sx': 115, 'x': 12, 'measure': 12, 'barrier': 1}",127,305,"{'rz': 299, 'cx': 248, 'sx': 125, 'measure': 12, 'x': 10, 'barrier': 1}",5.17028535980149
1,twolocalrandom,13,54,"{'cx': 234, 'ry': 52, 'measure': 13, 'barrier': 1}",-1,-1,{},16,508,"{'cx': 904, 'rz': 291, 'sx': 215, 'measure': 13, 'x': 7, 'barrier': 1}",27,464,"{'cx': 758, 'rz': 334, 'sx': 246, 'x': 16, 'measure': 13, 'barrier': 1}",127,398,"{'cx': 749, 'rz': 223, 'sx': 179, 'measure': 13, 'x': 9, 'barrier': 1}",6.82971464019851
1,qpeinexact,17,50,"{'cp': 136, 'h': 32, 'measure': 16, 'swap': 8, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,566,"{'cx': 742, 'rz': 518, 'sx': 123, 'x': 17, 'measure': 16, 'barrier': 1}",127,556,"{'cx': 740, 'rz': 596, 'sx': 185, 'x': 26, 'measure': 16, 'barrier': 1}",10.82971464019850
1,ae,13,72,"{'cp': 66, 'cx': 24, 'u': 13, 'measure': 13, 'u2': 12, 'u3': 12, 'h': 12, 'barrier': 1}",-1,-1,{},16,368,"{'rz': 346, 'cx': 288, 'sx': 147, 'measure': 13, 'x': 12, 'barrier': 1}",27,365,"{'rz': 346, 'cx': 300, 'sx': 146, 'measure': 13, 'x': 10, 'barrier': 1}",127,351,"{'rz': 378, 'cx': 275, 'sx': 167, 'measure': 13, 'x': 11, 'barrier': 1}",11.17028535980150
1,qpeinexact,26,77,"{'cp': 325, 'h': 50, 'measure': 25, 'swap': 12, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,986,"{'cx': 1786, 'rz': 1195, 'sx': 298, 'x': 43, 'measure': 25, 'barrier': 1}",127,1005,"{'cx': 1789, 'rz': 1222, 'sx': 314, 'x': 42, 'measure': 25, 'barrier': 1}",16.17028535980150
1,qpeinexact,27,80,"{'cp': 351, 'h': 52, 'measure': 26, 'swap': 13, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,920,"{'cx': 1853, 'rz': 1293, 'sx': 343, 'x': 49, 'measure': 26, 'barrier': 1}",127,938,"{'cx': 2032, 'rz': 1194, 'sx': 267, 'x': 41, 'measure': 26, 'barrier': 1}",19.17028535980150
1,ae,7,36,"{'cp': 15, 'cx': 12, 'u': 7, 'measure': 7, 'u2': 6, 'u3': 6, 'h': 6, 'barrier': 1}",7,128,"{'rz': 96, 'cx': 69, 'sx': 48, 'measure': 7, 'x': 3, 'barrier': 1}",16,147,"{'rz': 94, 'cx': 74, 'sx': 46, 'measure': 7, 'x': 2, 'barrier': 1}",27,147,"{'rz': 94, 'cx': 74, 'sx': 46, 'measure': 7, 'x': 2, 'barrier': 1}",127,140,"{'rz': 91, 'cx': 72, 'sx': 41, 'measure': 7, 'x': 2, 'barrier': 1}",24.82971464019850
1,su2random,21,86,"{'cx': 630, 'u3': 84, 'measure': 21, 'barrier': 1}",-1,-1,{},-1,-1,{},27,624,"{'cx': 1784, 'rz': 794, 'sx': 573, 'x': 31, 'measure': 21, 'barrier': 1}",127,561,"{'cx': 1540, 'rz': 1231, 'sx': 814, 'x': 85, 'measure': 21, 'barrier': 1}",25.17028535980150
1,qftentangled,14,31,"{'cp': 91, 'h': 15, 'measure': 14, 'cx': 13, 'swap': 7, 'barrier': 1}",-1,-1,{},16,317,"{'cx': 452, 'rz': 401, 'sx': 155, 'x': 22, 'measure': 14, 'barrier': 1}",27,351,"{'cx': 473, 'rz': 361, 'sx': 121, 'x': 23, 'measure': 14, 'barrier': 1}",127,332,"{'cx': 458, 'rz': 402, 'sx': 155, 'x': 21, 'measure': 14, 'barrier': 1}",29.82971464019850
