subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates
1,qft,40,81,"{'cp': 780, 'h': 40, 'measure': 40, 'swap': 20, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1084,"{'cx': 3332, 'rz': 2974, 'sx': 1196, 'x': 108, 'measure': 40, 'barrier': 1}"
1,qft,47,95,"{'cp': 1081, 'h': 47, 'measure': 47, 'swap': 23, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1025,"{'cx': 4692, 'rz': 3197, 'sx': 999, 'x': 86, 'measure': 47, 'barrier': 1}"
1,qpeexact,48,143,"{'cp': 1128, 'h': 94, 'measure': 47, 'swap': 23, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,2274,"{'cx': 5710, 'rz': 4530, 'sx': 1725, 'x': 152, 'measure': 47, 'barrier': 1}"
1,random,37,411,"{'cx': 802, 'u2': 372, 'cu1': 311, 'u1': 209, 'h': 195, 'u3': 150, 'ry': 122, 'ccx': 74, 'rx': 68, 'rzz': 57, 'cu3': 53, 't': 49, 'tdg': 47, 'crz': 40, 's': 39, 'cswap': 39, 'measure': 37, 'cry': 36, 'ch': 34, 'x': 34, 'cy': 33, 'rz': 30, 'p': 29, 'rxx': 28, 'cz': 27, 'swap': 26, 'sx': 24, 'crx': 19, 'cp': 19, 'y': 17, 'u': 13, 'sdg': 11, 'z': 9, 'sxdg': 7, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,5243,"{'cx': 14112, 'rz': 5917, 'sx': 2720, 'x': 251, 'measure': 37, 'barrier': 1}"
1,qpeinexact,45,134,"{'cp': 990, 'h': 88, 'measure': 44, 'swap': 22, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1730,"{'cx': 5127, 'rz': 3447, 'sx': 1080, 'x': 102, 'measure': 44, 'barrier': 1}"
1,qftentangled,47,97,"{'cp': 1081, 'h': 48, 'measure': 47, 'cx': 46, 'swap': 23, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1483,"{'cx': 4735, 'rz': 4434, 'sx': 1805, 'x': 108, 'measure': 47, 'barrier': 1}"
1,qpeexact,16,47,"{'cp': 120, 'h': 30, 'measure': 15, 'swap': 7, 'x': 1, 'barrier': 1}",-1,-1,{},16,481,"{'cx': 628, 'rz': 491, 'sx': 158, 'measure': 15, 'x': 12, 'barrier': 1}",27,496,"{'cx': 661, 'rz': 511, 'sx': 168, 'x': 19, 'measure': 15, 'barrier': 1}",127,457,"{'cx': 614, 'rz': 476, 'sx': 126, 'x': 17, 'measure': 15, 'barrier': 1}"
1,qpeexact,24,65,"{'cp': 273, 'h': 46, 'measure': 23, 'swap': 11, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,751,"{'cx': 1480, 'rz': 1057, 'sx': 282, 'x': 39, 'measure': 23, 'barrier': 1}",127,903,"{'cx': 1467, 'rz': 1154, 'sx': 348, 'x': 50, 'measure': 23, 'barrier': 1}"
1,qnn,49,485,"{'cx': 4752, 'p': 2352, 'u2': 98, 'ry': 98, 'measure': 49, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1539,"{'rz': 9398, 'cx': 8906, 'sx': 5395, 'x': 213, 'measure': 49, 'barrier': 1}"
1,twolocalrandom,10,42,"{'cx': 135, 'ry': 40, 'measure': 10, 'barrier': 1}",-1,-1,{},16,322,"{'cx': 406, 'rz': 203, 'sx': 157, 'measure': 10, 'x': 7, 'barrier': 1}",27,263,"{'cx': 365, 'rz': 180, 'sx': 140, 'measure': 10, 'x': 4, 'barrier': 1}",127,275,"{'cx': 370, 'rz': 185, 'sx': 144, 'x': 12, 'measure': 10, 'barrier': 1}"
