subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates
0,qpeinexact,40,119,"{'cp': 780, 'h': 78, 'measure': 39, 'swap': 19, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1663,"{'cx': 3913, 'rz': 2874, 'sx': 913, 'x': 124, 'measure': 39, 'barrier': 1}"
0,qftentangled,26,55,"{'cp': 325, 'h': 27, 'measure': 26, 'cx': 25, 'swap': 13, 'barrier': 1}",-1,-1,{},-1,-1,{},27,756,"{'cx': 1547, 'rz': 1216, 'sx': 451, 'x': 51, 'measure': 26, 'barrier': 1}",127,511,"{'cx': 1727, 'rz': 938, 'sx': 51, 'measure': 26, 'x': 5, 'barrier': 1}"
0,su2random,28,114,"{'cx': 1134, 'u3': 112, 'measure': 28, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,687,"{'cx': 2450, 'rz': 1671, 'sx': 1184, 'x': 68, 'measure': 28, 'barrier': 1}"
0,su2random,34,138,"{'cx': 1683, 'u3': 136, 'measure': 34, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,730,"{'cx': 4261, 'rz': 2239, 'sx': 1407, 'x': 116, 'measure': 34, 'barrier': 1}"
0,qft,23,47,"{'cp': 253, 'h': 23, 'measure': 23, 'swap': 11, 'barrier': 1}",-1,-1,{},-1,-1,{},27,542,"{'cx': 1235, 'rz': 936, 'sx': 287, 'x': 42, 'measure': 23, 'barrier': 1}",127,518,"{'rz': 1213, 'cx': 1046, 'sx': 557, 'x': 53, 'measure': 23, 'barrier': 1}"
0,qpeinexact,32,95,"{'cp': 496, 'h': 62, 'measure': 31, 'swap': 15, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1207,"{'cx': 2835, 'rz': 1874, 'sx': 533, 'x': 63, 'measure': 31, 'barrier': 1}"
0,dj,12,14,"{'u2': 15, 'cx': 11, 'measure': 11, 'h': 8, 'barrier': 1}",-1,-1,{},16,46,"{'rz': 44, 'sx': 25, 'cx': 24, 'measure': 11, 'x': 1, 'barrier': 1}",27,40,"{'rz': 42, 'sx': 24, 'cx': 23, 'measure': 11, 'x': 2, 'barrier': 1}",127,45,"{'rz': 40, 'cx': 28, 'sx': 23, 'measure': 11, 'barrier': 1}"
0,random,21,220,"{'cx': 254, 'u2': 128, 'cu1': 95, 'u1': 67, 'h': 57, 'u3': 55, 'ry': 46, 'rx': 24, 'measure': 21, 'cry': 16, 't': 16, 'cu3': 16, 's': 15, 'rz': 15, 'cswap': 15, 'rzz': 14, 'ccx': 14, 'crx': 13, 'swap': 13, 'sx': 12, 'tdg': 12, 'p': 11, 'crz': 10, 'x': 10, 'cp': 10, 'cy': 9, 'ch': 8, 'sdg': 6, 'rxx': 6, 'cz': 5, 'z': 3, 'u': 2, 'sxdg': 2, 'y': 2, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1689,"{'cx': 3031, 'rz': 1925, 'sx': 951, 'x': 87, 'measure': 21, 'barrier': 1}",127,1744,"{'cx': 3048, 'rz': 1860, 'sx': 904, 'x': 88, 'measure': 21, 'barrier': 1}"
0,su2random,29,118,"{'cx': 1218, 'u3': 116, 'measure': 29, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,811,"{'cx': 2933, 'rz': 2541, 'sx': 1671, 'x': 140, 'measure': 29, 'barrier': 1}"
0,realamprandom,43,174,"{'cx': 2709, 'ry': 172, 'measure': 43, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1006,"{'cx': 6922, 'rz': 4987, 'sx': 3194, 'x': 371, 'measure': 43, 'barrier': 1}"
0,ae,18,102,"{'cp': 136, 'cx': 34, 'u': 18, 'measure': 18, 'u2': 17, 'u3': 17, 'h': 17, 'barrier': 1}",-1,-1,{},-1,-1,{},27,606,"{'cx': 676, 'rz': 629, 'sx': 230, 'x': 27, 'measure': 18, 'barrier': 1}",127,564,"{'cx': 648, 'rz': 638, 'sx': 233, 'x': 22, 'measure': 18, 'barrier': 1}"
0,qpeinexact,6,17,"{'cp': 15, 'h': 10, 'measure': 5, 'swap': 2, 'x': 1, 'barrier': 1}",7,96,"{'rz': 65, 'cx': 54, 'sx': 20, 'measure': 5, 'x': 4, 'barrier': 1}",16,93,"{'rz': 61, 'cx': 56, 'sx': 17, 'measure': 5, 'x': 3, 'barrier': 1}",27,93,"{'rz': 61, 'cx': 56, 'sx': 17, 'measure': 5, 'x': 3, 'barrier': 1}",127,94,"{'rz': 64, 'cx': 54, 'sx': 20, 'measure': 5, 'x': 4, 'barrier': 1}"
1,qpeexact,24,65,"{'cp': 273, 'h': 46, 'measure': 23, 'swap': 11, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,751,"{'cx': 1480, 'rz': 1057, 'sx': 282, 'x': 39, 'measure': 23, 'barrier': 1}",127,903,"{'cx': 1467, 'rz': 1154, 'sx': 348, 'x': 50, 'measure': 23, 'barrier': 1}"
1,qnn,33,325,"{'cx': 2144, 'p': 1056, 'u2': 66, 'ry': 66, 'measure': 33, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1124,"{'cx': 4232, 'rz': 3565, 'sx': 1764, 'x': 190, 'measure': 33, 'barrier': 1}"
1,su2random,28,114,"{'cx': 1134, 'u3': 112, 'measure': 28, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,687,"{'cx': 2450, 'rz': 1671, 'sx': 1184, 'x': 68, 'measure': 28, 'barrier': 1}"
1,qft,37,75,"{'cp': 666, 'h': 37, 'measure': 37, 'swap': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1106,"{'cx': 2944, 'rz': 2156, 'sx': 657, 'x': 99, 'measure': 37, 'barrier': 1}"
1,random,15,164,"{'cx': 153, 'u2': 78, 'cu1': 58, 'u1': 47, 'h': 41, 'u3': 35, 'ry': 25, 'measure': 15, 'rx': 12, 'ccx': 11, 'cu3': 9, 'rz': 9, 't': 7, 'cry': 6, 'tdg': 6, 'cz': 6, 'rzz': 6, 'ch': 5, 'cy': 5, 's': 5, 'p': 5, 'swap': 5, 'cp': 5, 'cswap': 4, 'sx': 3, 'crx': 3, 'x': 3, 'crz': 3, 'rxx': 2, 'sxdg': 1, 'u': 1, 'sdg': 1, 'z': 1, 'barrier': 1}",-1,-1,{},16,811,"{'cx': 1299, 'rz': 968, 'sx': 454, 'x': 38, 'measure': 15, 'barrier': 1}",27,958,"{'cx': 1322, 'rz': 963, 'sx': 453, 'x': 38, 'measure': 15, 'barrier': 1}",127,961,"{'cx': 1318, 'rz': 988, 'sx': 476, 'x': 37, 'measure': 15, 'barrier': 1}"
1,twolocalrandom,24,98,"{'cx': 828, 'ry': 96, 'measure': 24, 'barrier': 1}",-1,-1,{},-1,-1,{},27,938,"{'cx': 2768, 'rz': 857, 'sx': 591, 'x': 51, 'measure': 24, 'barrier': 1}",127,972,"{'cx': 2823, 'rz': 814, 'sx': 588, 'x': 29, 'measure': 24, 'barrier': 1}"
1,realamprandom,37,150,"{'cx': 1998, 'ry': 148, 'measure': 37, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1490,"{'cx': 6154, 'rz': 2525, 'sx': 1659, 'x': 136, 'measure': 37, 'barrier': 1}"
1,dj,24,26,"{'h': 24, 'u2': 23, 'cx': 23, 'measure': 23, 'barrier': 1}",-1,-1,{},-1,-1,{},27,93,"{'rz': 86, 'cx': 73, 'sx': 49, 'measure': 23, 'x': 3, 'barrier': 1}",127,96,"{'rz': 86, 'cx': 70, 'sx': 48, 'measure': 23, 'x': 1, 'barrier': 1}"
1,qftentangled,35,73,"{'cp': 595, 'h': 36, 'measure': 35, 'cx': 34, 'swap': 17, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,840,"{'rz': 2563, 'cx': 2391, 'sx': 1184, 'x': 95, 'measure': 35, 'barrier': 1}"
1,realamprandom,50,202,"{'cx': 3675, 'ry': 200, 'measure': 50, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1453,"{'cx': 8943, 'rz': 4823, 'sx': 2899, 'x': 362, 'measure': 50, 'barrier': 1}"
