subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,arrival_time
0,ae,38,222,"{'cp': 666, 'cx': 74, 'u': 38, 'measure': 38, 'u2': 37, 'u3': 37, 'h': 37, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1545,"{'cx': 3200, 'rz': 2353, 'sx': 712, 'x': 92, 'measure': 38, 'barrier': 1}",1.6773978190921135
0,ghz,25,26,"{'measure': 25, 'cx': 24, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,55,"{'cx': 41, 'measure': 25, 'rz': 12, 'sx': 9, 'barrier': 1}",127,28,"{'measure': 25, 'cx': 24, 'rz': 2, 'sx': 1, 'barrier': 1}",3.098449445370361
0,qft,48,97,"{'cp': 1128, 'h': 48, 'measure': 48, 'swap': 24, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1479,"{'cx': 4924, 'rz': 3630, 'sx': 1172, 'x': 204, 'measure': 48, 'barrier': 1}",3.1760382950205077
0,qftentangled,37,77,"{'cp': 666, 'h': 38, 'measure': 37, 'cx': 36, 'swap': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1146,"{'cx': 3073, 'rz': 2128, 'sx': 634, 'x': 107, 'measure': 37, 'barrier': 1}",4.090822071801035
0,twolocalrandom,48,194,"{'cx': 3384, 'ry': 192, 'measure': 48, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,2191,"{'cx': 10589, 'rz': 5298, 'sx': 3263, 'x': 365, 'measure': 48, 'barrier': 1}",5.30902756089124
0,realamprandom,47,190,"{'cx': 3243, 'ry': 188, 'measure': 47, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,2020,"{'cx': 9717, 'rz': 3223, 'sx': 2030, 'x': 171, 'measure': 47, 'barrier': 1}",5.395790721024478
0,ghz,48,49,"{'measure': 48, 'cx': 47, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,51,"{'measure': 48, 'cx': 47, 'rz': 2, 'sx': 1, 'barrier': 1}",6.270349890160312
0,qnn,11,105,"{'cx': 230, 'p': 110, 'u2': 22, 'ry': 22, 'measure': 11, 'barrier': 1}",-1,-1,{},16,361,"{'cx': 461, 'rz': 335, 'sx': 155, 'x': 21, 'measure': 11, 'barrier': 1}",27,388,"{'cx': 449, 'rz': 355, 'sx': 163, 'x': 23, 'measure': 11, 'barrier': 1}",127,373,"{'cx': 468, 'rz': 355, 'sx': 162, 'x': 26, 'measure': 11, 'barrier': 1}",6.661265508332847
0,realamprandom,3,14,"{'ry': 12, 'cx': 9, 'measure': 3, 'barrier': 1}",7,43,"{'rz': 26, 'sx': 25, 'cx': 17, 'measure': 3, 'x': 1, 'barrier': 1}",16,42,"{'rz': 29, 'sx': 27, 'cx': 17, 'measure': 3, 'barrier': 1}",27,42,"{'rz': 28, 'sx': 25, 'cx': 17, 'measure': 3, 'x': 1, 'barrier': 1}",127,42,"{'rz': 29, 'sx': 27, 'cx': 17, 'measure': 3, 'barrier': 1}",11.210189637267936
0,qpeinexact,2,4,"{'h': 2, 'x': 1, 'cp': 1, 'barrier': 1, 'measure': 1}",7,10,"{'rz': 6, 'sx': 2, 'cx': 2, 'x': 1, 'barrier': 1, 'measure': 1}",16,10,"{'rz': 6, 'sx': 2, 'cx': 2, 'x': 1, 'barrier': 1, 'measure': 1}",27,10,"{'rz': 6, 'sx': 2, 'cx': 2, 'x': 1, 'barrier': 1, 'measure': 1}",127,10,"{'rz': 6, 'sx': 2, 'cx': 2, 'x': 1, 'barrier': 1, 'measure': 1}",11.302684363006307
