Episode,Total Completion Time,Rescheduling Count
0,774.4230420475817,40.0
1,1046.894424897719,42.0
2,617.9205737688227,40.0
3,628.8109224991855,40.0
4,866.5606607725742,42.0
5,566.5663152799716,36.0
6,413.6463392302391,30.0
7,432.2598716991536,32.0
8,870.3762464998516,41.0
9,1394.6824482677005,42.0
10,363.90939944019135,39.0
11,383.7768448815786,33.0
12,207.1562787454552,35.0
13,621.3609037155244,35.0
14,742.9834560198984,36.0
15,408.37357491369073,29.0
16,849.3653276907853,40.0
17,589.6526842487319,39.0
18,690.1527352313494,38.0
19,463.1828397210162,44.0
20,749.1483089017328,37.0
21,361.10023576100224,33.0
22,1020.6336747898247,40.0
23,643.4919808072126,39.0
24,678.9492887209697,36.0
25,704.0030903378286,40.0
26,236.71913086329505,24.0
27,868.0363015343289,40.0
28,514.4224902263933,35.0
29,1029.4922803886213,42.0
30,886.7245346776365,37.0
31,586.3764599582873,41.0
32,433.24367449188094,32.0
33,653.1261897262499,36.0
34,554.3090769693335,42.0
35,700.4555073920585,37.0
36,601.7057329653607,38.0
37,670.5812418983837,44.0
38,771.29270222627,34.0
39,558.4195175017535,40.0
40,532.6560439087277,38.0
41,599.5196239369212,44.0
42,536.9127082928047,38.0
43,727.4146780551054,40.0
44,375.8560508023986,35.0
45,566.307642637826,37.0
46,460.37506666810236,39.0
47,757.2286153476097,41.0
48,545.5224263252145,32.0
49,478.29268766411326,42.0
50,435.43733240245353,38.0
51,695.6963699855635,39.0
52,482.25652324277115,37.0
53,869.7229706811498,41.0
54,546.1983303906775,31.0
55,590.9020429390708,35.0
56,755.3380698294844,40.0
57,558.4616943255035,40.0
58,545.7684111909076,40.0
59,425.70812736455537,37.0
60,633.0101678477301,35.0
61,521.8836754508253,36.0
62,973.8842211028855,43.0
63,412.82137516049215,38.0
64,987.7760875697948,40.0
65,642.5279610549509,39.0
66,582.1721791618904,36.0
67,693.9500035705355,40.0
68,789.7683292375004,38.0
69,684.3098796725943,40.0
70,604.3977524815559,36.0
71,802.168098151363,41.0
72,788.5206318256928,42.0
73,676.1757941145282,34.0
74,589.1742946893258,38.0
75,787.8254076771084,44.0
76,589.0176430744142,38.0
77,769.168050375966,42.0
78,739.4541400399085,40.0
79,597.4687583949419,33.0
80,446.0454398494521,32.0
81,507.43657309680856,31.0
82,509.46519499947544,31.0
83,477.6576370957176,39.0
84,448.7200313033012,38.0
85,959.3483665188473,44.0
86,552.6945242207725,30.0
87,832.3409587334892,40.0
88,587.9273806639311,35.0
89,679.4131679478429,37.0
90,393.8545712065559,31.0
91,762.0365058522186,38.0
92,447.8208740424661,38.0
93,915.649490044282,40.0
94,768.9448839386108,42.0
95,388.82369455317746,33.0
96,1251.7773158818782,42.0
97,739.013409053475,41.0
98,760.3428642461873,43.0
99,789.5407058575811,42.0
