Episode,Total Completion Time,Rescheduling Count
0,779.286564033785,44.0
1,1018.0907645941475,46.0
2,641.8455081869836,44.0
3,654.0831900588066,44.0
4,871.1009895371011,46.0
5,585.3419575893722,40.0
6,446.8945558944891,35.0
7,512.7857438402183,36.0
8,870.0392874462106,45.0
9,1403.2538843569118,46.0
10,437.20049371329264,43.0
11,387.3112745833579,37.0
12,241.9880555126875,40.0
13,626.9781166282103,39.0
14,780.902382522772,40.0
15,388.4511046105547,35.0
16,827.7077435577246,44.0
17,607.3581004546566,43.0
18,700.7635993222689,42.0
19,499.64671161102183,48.0
20,755.1151848860904,37.0
21,395.14827467242446,37.0
22,1118.8852805272445,44.0
23,672.2494591832836,43.0
24,752.6005621924559,40.0
25,721.8238032533495,44.0
26,207.0930613935666,28.0
27,888.658573558916,44.0
28,534.4488956052584,39.0
29,1005.5085728583823,43.0
30,853.3132124534151,41.0
31,590.8656874378183,45.0
32,461.01304465604215,36.0
33,686.935225951273,40.0
34,577.5721509951466,46.0
35,716.722166899953,41.0
36,625.5229764371421,41.0
37,615.3195559790382,48.0
38,780.3194866897076,38.0
39,594.9541520086445,44.0
40,561.3443611413669,43.0
41,661.7754295462144,48.0
42,571.6179140077627,42.0
43,737.876597753784,44.0
44,398.5770308682531,39.0
45,593.1565609649705,41.0
46,448.31888197741904,43.0
47,739.4550793811899,45.0
48,566.6025067912151,36.0
49,488.08591091471266,46.0
50,473.32301622092916,41.0
51,702.8283220644104,43.0
52,501.7041333591779,41.0
53,859.9557336531625,45.0
54,572.9886504975027,34.0
55,682.6790300121812,39.0
56,784.8824768279756,44.0
57,524.2425649438379,44.0
58,560.7080082720844,41.0
59,470.0018740168153,41.0
60,685.8348449770591,39.0
61,578.3072927716473,41.0
62,1037.7674743484838,47.0
63,363.07834646054357,41.0
64,975.0234557794759,44.0
65,645.9724131814359,43.0
66,572.6235504259654,37.0
67,703.0491048629965,44.0
68,816.9584956357872,42.0
69,645.0645671546602,44.0
70,601.470562470287,36.0
71,792.2956085695879,45.0
72,794.2921778200525,46.0
73,687.8876958511382,38.0
74,563.7197154668082,43.0
75,810.3360229023112,48.0
76,630.9707744234905,42.0
77,808.783449981612,46.0
78,760.8511106964423,44.0
79,614.4434092193461,39.0
80,476.1463679302302,36.0
81,547.9441818033677,35.0
82,545.6914809418145,35.0
83,485.7904843422369,39.0
84,450.62171141799803,42.0
85,1073.4248717263085,48.0
86,551.0077594549593,34.0
87,825.3505545480989,44.0
88,610.0023367103439,39.0
89,697.8224633469039,41.0
90,412.86652903623803,35.0
91,769.2821875828371,42.0
92,430.0895171689559,41.0
93,955.1218764261479,44.0
94,774.9226519278552,46.0
95,410.0365030939497,37.0
96,1256.3691795545785,46.0
97,767.2365327297308,45.0
98,752.0432471902363,47.0
99,798.6604685050595,46.0
