Episode,Total Completion Time,Rescheduling Count
0,1583.1485221725395,9.0
1,1272.4015792951707,16.0
2,1297.3462461029528,18.0
3,1012.9995007782466,14.0
4,810.1062981699487,7.0
5,1040.7226741325214,21.0
6,653.7321396759526,15.0
7,1095.2850404290143,9.0
8,1462.1154063869565,11.0
9,1276.0327963295954,6.0
10,1456.2715938546703,14.0
11,1771.9249269377126,13.0
12,831.4937831743333,15.0
13,807.1518630576986,25.0
14,1067.242851893651,13.0
15,1167.2511727217932,11.0
16,476.34852024454705,5.0
17,815.3774107037693,23.0
18,1999.7011515207637,18.0
19,1027.424228882643,11.0
20,1467.8393280672508,17.0
21,757.0649441081354,8.0
22,747.8925800863692,11.0
23,632.7924100416911,13.0
24,1899.2396765960182,7.0
25,551.8793580200356,22.0
26,754.602295655722,9.0
27,783.3232325923798,14.0
28,448.88847308792907,14.0
29,883.8340915414927,15.0
30,1223.0294463333232,11.0
31,2020.1524471926775,11.0
32,706.3581861207509,8.0
33,1692.8438265135187,7.0
34,1207.1502806092187,20.0
35,933.0213933459939,17.0
36,1466.690066993042,13.0
37,591.9499540127695,18.0
38,610.2486658229635,8.0
39,541.834590187726,7.0
40,980.0974791915049,8.0
41,1130.505095959944,12.0
42,647.7006805146912,17.0
43,1039.950685389512,16.0
44,912.7150518779833,12.0
45,766.6994376496298,7.0
46,656.2282906724988,10.0
47,1086.8245873517285,16.0
48,1609.0645605436832,14.0
49,802.2315842091066,26.0
50,1334.8135667871404,19.0
51,1354.497420897062,21.0
52,700.4082490886377,12.0
53,475.34544304600144,20.0
54,590.8773333624605,9.0
55,875.3471565117958,12.0
56,1801.5151110095958,8.0
57,1654.7720199528487,14.0
58,837.6292603042394,3.0
59,1336.3791497821237,21.0
60,1199.8296655724553,20.0
61,1032.9001055685756,13.0
62,704.4989335362293,18.0
63,653.1077059840945,16.0
64,1032.4911306850404,12.0
65,486.53101524134036,9.0
66,2102.2103476202997,14.0
67,559.0551290693769,8.0
68,1538.5490192234115,11.0
69,1754.9340459159735,10.0
70,1002.9955345191004,14.0
71,1205.1022616258495,15.0
72,629.9124497128385,16.0
73,847.6421808004076,12.0
74,570.4618450351535,9.0
75,1364.125432988577,15.0
76,432.2994797189648,7.0
77,803.2783437457542,17.0
78,1805.7204892756076,11.0
79,614.7751420741093,19.0
80,826.2523021979844,13.0
81,790.3897637429594,9.0
82,1028.1826043251262,8.0
83,1126.0603017140124,9.0
84,1119.6162249609445,16.0
85,877.8145350637845,14.0
86,715.0984032087706,27.0
87,935.7451865838244,18.0
88,504.6478067145031,9.0
89,1267.2906975398712,8.0
90,1135.2227323509665,9.0
91,971.205818883371,10.0
92,1811.1107473947495,17.0
93,896.8175449584718,23.0
94,813.1266626738563,19.0
95,1452.306766594011,24.0
96,1216.4671673472842,7.0
97,870.5200709777224,13.0
98,1043.3471644961685,9.0
99,985.6573467032791,8.0
