Episode,Total Completion Time,Rescheduling Count
0,896.6456654046958,12.0
1,1871.0879022002375,16.0
2,510.79570315056674,12.0
3,824.1042787696023,13.0
4,793.7566353584212,16.0
5,1195.5185394703121,11.0
6,1049.0003821311604,11.0
7,529.3791395821091,7.0
8,1118.336106206277,9.0
9,673.4589619263967,13.0
10,1469.0348603956381,11.0
11,494.8463140046214,13.0
12,793.3971136973067,12.0
13,1100.5065892325117,12.0
14,1591.2272687430552,13.0
15,477.39917784322813,12.0
16,1007.4534663044803,13.0
17,958.4246494918717,13.0
18,457.6562821021427,12.0
19,503.66683242919765,7.0
20,720.4785259890806,16.0
21,874.4693058959571,13.0
22,1044.4341061423006,11.0
23,637.3702856308968,7.0
24,1226.0152274772724,13.0
25,598.0127872691697,16.0
26,698.4138902971073,11.0
27,1081.5844919875208,11.0
28,1166.6331596861705,13.0
29,756.227117050151,12.0
30,1002.0314899664113,14.0
31,775.3366726813233,13.0
32,1007.9649681354205,12.0
33,613.8010912606667,9.0
34,805.781126111259,14.0
35,1004.9199352993268,12.0
36,1002.8114451253723,11.0
37,1083.08481643458,12.0
38,665.3124446637631,11.0
39,1108.096700775744,14.0
40,638.3453855845744,8.0
41,498.09976703964713,12.0
42,1015.830552685081,13.0
43,1138.6822736859224,16.0
44,633.7455602973097,5.0
45,944.2120125318447,13.0
46,828.9142438710427,11.0
47,799.1685394622021,11.0
48,1001.5054643858178,16.0
49,680.4556417750368,7.0
50,653.8649837420505,11.0
51,515.6572095931972,13.0
52,1319.0663130611722,11.0
53,1013.0111902857732,12.0
54,1386.6047380820037,16.0
55,1129.9116464179374,12.0
56,818.6890571057631,13.0
57,839.8067544380015,12.0
58,1379.5509489644949,13.0
59,649.5536809931372,13.0
60,956.2737942179783,12.0
61,1096.2702825791414,11.0
62,871.9568993703994,12.0
63,833.2604699493944,12.0
64,985.3178404348411,13.0
65,739.4419406882281,13.0
66,594.903416989284,13.0
67,629.7017297275405,12.0
68,859.9884263667459,16.0
69,741.1079985813102,6.0
70,1096.235995871185,13.0
71,1077.06661046078,12.0
72,744.8403333430768,12.0
73,581.6590883388335,8.0
74,723.1321970419509,9.0
75,583.8902999476568,11.0
76,863.0820192112726,8.0
77,630.7861055399047,8.0
78,780.8301014046206,13.0
79,522.9615301998499,9.0
80,330.4524344935783,12.0
81,1108.5922830379768,11.0
82,697.7588930036542,8.0
83,1143.4940273168565,13.0
84,965.190344518973,11.0
85,1039.5953489887909,13.0
86,756.1646445429772,13.0
87,1233.6372212514466,16.0
88,1136.2305108205057,12.0
89,1346.8606566757437,16.0
90,1247.0016497513018,11.0
91,371.3166356704254,8.0
92,779.4272937782516,13.0
93,761.2030528745827,14.0
94,860.4854299738633,11.0
95,1020.7382699857077,12.0
96,592.0044182627178,8.0
97,1049.3217613015659,13.0
98,1099.9249351141862,16.0
99,656.064437356785,12.0
